Gender,Age Range,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,Would you say that you love America?,Have you ever gone hunting?,Have you ever eaten a kale salad?,"Who would you prefer as president of the United States, Darth Vader or Donald Trump?"
Female,35-44,Disapprove,College degree,DK/REF,Yes,No,Yes,Darth Vader
Male,35-44,Disapprove,Some college,Latino,Yes,No,No,Darth Vader
Female,55-64,Approve,Some college,White,Yes,No,Yes,Donald Trump
Female,25-34,Disapprove,High school,Latino,Yes,No,No,Darth Vader
Male,35-44,Approve,Some college,White,Yes,Yes,Yes,Darth Vader
Female,45-54,DK/REF,Some college,Latino,Yes,No,No,Donald Trump
Female,25-34,Approve,College degree,White,Yes,Yes,Yes,Donald Trump
Female,18-24,Disapprove,Some college,White,Yes,No,No,Donald Trump
Female,25-34,Approve,College degree,White,Yes,Yes,Yes,Donald Trump
Male,25-34,DK/REF,Some college,White,Yes,No,Yes,Donald Trump
Male,35-44,Disapprove,College degree,White,Yes,Yes,Yes,Donald Trump
Male,25-34,Disapprove,Graduate degree,White,Yes,No,Yes,Darth Vader
Male,25-34,DK/REF,Some college,Black,Yes,No,No,Donald Trump
Male,45-54,Disapprove,High school,Black,Yes,Yes,Yes,Darth Vader
Male,45-54,Approve,Graduate degree,DK/REF,Yes,No,No,Donald Trump
Female,55-64,Disapprove,High school,Black,Yes,No,No,Darth Vader
Female,55-64,Approve,College degree,White,Yes,No,Yes,Donald Trump
Male,25-34,DK/REF,Graduate degree,Asian,Yes,No,No,Donald Trump
DK/REF,35-44,Disapprove,Some college,DK/REF,DK/REF,Yes,Yes,Darth Vader
Male,55-64,Approve,College degree,Latino,Yes,Yes,No,Donald Trump
Female,55-64,Disapprove,Graduate degree,White,Yes,No,Yes,Darth Vader
Female,45-54,Approve,Graduate degree,White,Yes,No,Yes,Donald Trump
Female,55-64,Approve,Graduate degree,Latino,Yes,No,Yes,Donald Trump
Male,25-34,Disapprove,High school,Latino,Yes,No,No,Darth Vader
Male,25-34,Disapprove,Graduate degree,White,Yes,No,Yes,Darth Vader
Female,65+,Approve,High school,White,Yes,No,No,Donald Trump
Male,55-64,Approve,Some college,White,Yes,Yes,No,Donald Trump
Female,55-64,DK/REF,High school,White,Yes,No,Yes,Donald Trump
Female,65+,DK/REF,High school,White,Yes,No,No,Donald Trump
Male,35-44,Approve,Some college,White,Yes,Yes,No,Donald Trump
